Batch.Size,Source,Sink,End2End
1000,	3034,	1426,	1204		
2000,	4518,	2283,	2040		
3000,	4762,	2625,	2221		
4000,	5025,	3306,	2776			
5000,	5343,	3439,	3124			
10000,	5664,	4768,	4160
15000,	5731,	5382,	3571			
20000,	5760,	5335,	3845			
25000,	5943,	5260,	3124
30000,	5957,	4631,	3125
40000,	5624,	4435,	3433
50000,	5574,	3490,	3124
60000,	5504,	2979,	2940
70000,	5615,	3066,	2703
80000,	5231,	2954,	2688
90000,	5436,	2979,	1998
100000,	5561,	2490,	1817
